nj,d,d_nj,fte,bk,kfc,roys,wendys,co_owned,centralj,southj,pa1,pa2,demp,restaurant_id,treat,post,did,state,period
1,0,0,17.0,1,0,0,0,1,0,0,0,0,-2.5,69,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,9.0,0,1,0,0,1,0,0,0,0,5.0,70,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.0,0,1,0,0,1,0,0,0,0,-12.5,71,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,11.5,0,1,0,0,0,0,1,0,0,-1.5,72,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.0,0,1,0,0,0,0,1,0,0,-1.5,73,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,48.0,0,0,1,0,0,0,1,0,0,-1.5,74,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,45.5,0,0,1,0,1,0,1,0,0,-19.0,75,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.0,0,0,0,1,0,0,1,0,0,1.0,76,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,1,0,0,0,0,0,1,0,0,-5.0,77,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.0,0,0,1,0,1,0,1,0,0,-7.0,78,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.5,0,0,0,1,0,0,1,0,0,-5.0,79,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.5,0,0,0,1,0,0,1,0,0,-2.5,80,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.5,0,0,0,1,0,0,0,0,0,9.5,81,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,27.5,1,0,0,0,0,0,0,0,0,-0.5,82,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,1,0,0,0,1,0,0,0,0,5.5,83,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,34.0,1,0,0,0,0,0,0,0,0,-17.5,84,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,1,0,0,0,1,0,0,0,0,13.5,85,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,1,0,0,0,0,0,0,0,0,3.5,86,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,,0,0,1,0,1,0,0,0,0,,87,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,33.5,0,0,0,1,1,0,0,0,0,-1.5,88,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,12.0,0,0,0,1,1,0,0,0,0,2.5,89,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,35.0,1,0,0,0,0,0,0,0,0,-24.5,90,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,35.0,1,0,0,0,0,1,0,0,0,9.0,91,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,16.0,1,0,0,0,0,1,0,0,0,-0.5,92,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.5,0,1,0,0,0,1,0,0,0,-5.0,93,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.0,0,0,1,0,0,1,0,0,0,5.0,94,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,0,0,1,0,0,1,0,0,0,5.0,95,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,,0,0,0,1,0,1,0,0,0,,96,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,36.0,1,0,0,0,0,1,0,0,0,-16.0,97,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,29.0,1,0,0,0,0,1,0,0,0,-2.5,98,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,29.0,1,0,0,0,0,1,0,0,0,-2.0,99,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.25,1,0,0,0,0,1,0,0,0,5.25,100,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.5,0,1,0,0,0,1,0,0,0,-5.0,101,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.5,0,0,1,0,0,1,0,0,0,-1.5,102,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.0,0,0,1,0,0,1,0,0,0,-2.5,103,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.0,0,0,1,0,0,1,0,0,0,11.5,104,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,30.5,0,0,1,0,0,1,0,0,0,1.5,105,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.5,1,0,0,0,0,0,1,0,0,9.5,106,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.0,0,1,0,0,0,0,1,0,0,-6.5,107,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.5,0,0,1,0,0,0,1,0,0,-2.0,108,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.5,1,0,0,0,0,0,0,0,0,8.5,109,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,26.5,1,0,0,0,0,1,0,0,0,2.5,110,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,8.0,0,1,0,0,0,0,0,0,0,2.0,111,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,5.5,0,1,0,0,0,0,0,0,0,4.0,112,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.25,0,0,1,0,0,0,0,0,0,-5.75,113,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.5,0,0,1,0,1,0,0,0,0,2.0,114,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,32.25,0,0,0,1,0,0,0,0,0,-7.25,115,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,30.0,1,0,0,0,0,1,0,0,0,-4.0,116,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,,1,0,0,0,1,0,0,0,0,,117,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,30.5,1,0,0,0,0,0,0,0,0,-8.0,118,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.0,1,0,0,0,0,0,0,0,0,,119,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,27.0,1,0,0,0,0,0,0,0,0,8.0,120,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.5,1,0,0,0,0,0,0,0,0,-0.75,121,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,38.0,1,0,0,0,0,0,0,0,0,-13.5,122,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,16.5,1,0,0,0,0,0,0,0,0,0.0,123,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,50.0,1,0,0,0,0,0,0,0,0,-20.0,124,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.5,1,0,0,0,0,0,0,0,0,18.5,125,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,6.5,0,1,0,0,0,0,0,0,0,10.5,126,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.5,0,1,0,0,0,0,0,0,0,-1.0,127,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,28.0,0,0,1,0,1,0,0,0,0,10.5,128,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.5,0,0,1,0,1,0,0,0,0,-1.5,129,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,,0,0,0,1,0,0,0,0,0,,130,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,1,0,0,0,0,1,0,0,0,8.0,131,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.5,1,0,0,0,0,1,0,0,0,-1.5,132,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,,1,0,0,0,0,1,0,0,0,,133,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.5,1,0,0,0,0,0,1,0,0,3.0,134,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.0,1,0,0,0,1,1,0,0,0,-4.0,135,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.0,1,0,0,0,1,1,0,0,0,3.0,136,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.5,1,0,0,0,1,0,0,0,0,2.0,137,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.5,0,1,0,0,0,1,0,0,0,-13.5,138,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,9.5,0,1,0,0,0,0,0,0,0,3.0,139,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,10.0,0,1,0,0,0,1,0,0,0,1.0,140,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.0,0,1,0,0,0,1,0,0,0,-1.5,141,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,85.0,0,0,1,0,1,1,0,0,0,-26.0,142,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.0,0,0,1,0,0,1,0,0,0,4.0,143,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.5,0,0,1,0,0,0,1,0,0,-6.0,144,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,53.0,0,0,0,1,0,1,0,0,0,-34.0,145,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,1,0,0,0,0,0,0,0,0,2.5,146,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.5,1,0,0,0,0,0,0,0,0,-3.0,147,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.5,1,0,0,0,1,0,0,0,0,6.0,148,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,25.0,1,0,0,0,0,0,0,0,0,3.0,149,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,27.0,0,0,1,0,0,0,0,0,0,3.25,150,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,22.5,1,0,0,0,0,1,0,0,0,21.5,151,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,36.5,1,0,0,0,0,1,0,0,0,-19.0,152,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.25,1,0,0,0,0,1,0,0,0,13.75,153,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.5,1,0,0,0,0,0,0,0,0,9.5,154,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.5,1,0,0,0,0,0,0,0,0,4.0,155,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.0,1,0,0,0,1,1,0,0,0,0.0,156,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,25.0,1,0,0,0,0,0,0,0,0,16.0,157,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,16.0,1,0,0,0,0,1,0,0,0,12.0,158,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.0,0,1,0,0,0,1,0,0,0,-9.5,159,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,22.75,0,0,1,0,1,1,0,0,0,2.25,160,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,35.0,0,0,1,0,1,1,0,0,0,-7.0,161,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,16.0,0,0,1,0,1,1,0,0,0,0.0,162,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.0,0,0,1,0,0,1,0,0,0,1.75,163,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,26.75,0,0,1,0,1,1,0,0,0,,164,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,30.5,0,0,1,0,1,0,0,0,0,1.5,165,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.0,0,0,0,1,0,1,0,0,0,4.5,166,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.5,0,0,0,1,0,1,0,0,0,4.0,167,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,36.5,0,0,0,1,0,0,0,0,0,24.0,168,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.0,1,0,0,0,0,0,0,0,0,-2.5,169,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.0,1,0,0,0,0,0,0,0,0,2.0,170,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.25,1,0,0,0,0,0,0,0,0,7.75,171,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.5,1,0,0,0,0,0,0,0,0,-5.5,172,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,8.5,0,1,0,0,0,0,0,0,0,0.5,173,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.0,0,1,0,0,0,0,0,0,0,2.5,174,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.0,0,0,1,0,1,0,0,0,0,-2.0,175,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,29.0,0,0,0,1,0,0,0,0,0,-7.5,176,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.0,1,0,0,0,0,0,0,0,0,1.0,177,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.0,1,0,0,0,1,0,0,0,0,0.25,178,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.0,1,0,0,0,0,0,0,0,0,4.5,179,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,36.0,1,0,0,0,0,0,0,0,0,-5.0,180,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,25.0,1,0,0,0,0,0,0,0,0,8.0,181,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,29.5,1,0,0,0,0,0,0,0,0,8.25,182,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,22.0,0,1,0,0,1,0,0,0,0,-13.0,183,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,11.0,0,1,0,0,0,0,0,0,0,0.0,184,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.5,0,1,0,0,0,0,0,0,0,-0.75,185,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.5,0,1,0,0,0,0,1,0,0,-3.0,186,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,0,1,0,0,0,0,0,0,0,4.0,187,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,9.5,0,1,0,0,0,1,0,0,0,-1.5,188,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,0,0,1,0,0,0,0,0,0,1.0,189,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.5,0,0,1,0,0,0,0,0,0,-2.0,190,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,29.0,0,0,0,1,0,0,0,0,0,-6.5,191,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,10.5,0,0,0,1,0,0,0,0,0,1.0,192,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,0,0,0,1,0,0,0,0,0,5.5,193,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,,1,0,0,0,0,0,0,0,0,,194,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,9.0,0,1,0,0,0,0,0,0,0,7.5,195,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,33.0,1,0,0,0,0,0,0,0,0,-4.0,196,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.5,1,0,0,0,0,0,0,0,0,10.5,197,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,41.0,1,0,0,0,0,0,0,0,0,-18.5,198,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.0,1,0,0,0,0,0,0,0,0,7.0,199,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.25,1,0,0,0,0,0,0,0,0,3.5,200,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.0,0,1,0,0,1,0,0,0,0,-3.5,201,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,32.0,0,0,1,0,1,0,0,0,0,-8.0,202,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,26.0,0,0,1,0,1,0,0,0,0,2.5,203,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,11.5,0,0,0,1,1,0,0,0,0,-1.5,204,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.0,1,0,0,0,0,0,1,0,0,2.5,205,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,22.75,1,0,0,0,0,0,1,0,0,7.75,206,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.5,1,0,0,0,1,0,1,0,0,6.25,207,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.0,1,0,0,0,0,0,1,0,0,2.5,208,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,1,0,0,0,0,0,1,0,0,10.0,209,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,10.5,0,1,0,0,0,0,1,0,0,3.5,210,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,10.5,0,1,0,0,1,0,1,0,0,-1.5,211,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,11.0,0,1,0,0,1,0,1,0,0,-1.5,212,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,10.5,0,1,0,0,1,0,1,0,0,5.0,213,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,12.5,0,1,0,0,0,0,1,0,0,-0.5,214,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,0,1,0,0,0,0,1,0,0,-6.5,215,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.0,0,0,1,0,1,0,1,0,0,-4.5,216,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.0,0,0,1,0,1,0,1,0,0,1.0,217,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.5,0,0,1,0,1,0,1,0,0,9.0,218,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.0,0,0,0,1,0,0,1,0,0,2.0,219,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.25,0,0,0,1,0,0,1,0,0,3.25,220,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,26.0,1,0,0,0,0,0,0,0,0,4.5,221,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.5,1,0,0,0,0,0,0,0,0,11.0,222,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,1,0,0,0,0,0,0,0,0,3.0,223,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,25.5,1,0,0,0,0,0,0,0,0,-4.0,224,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.5,1,0,0,0,0,0,0,0,0,,225,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.5,1,0,0,0,0,0,0,0,0,0.0,226,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.0,0,1,0,0,1,0,0,0,0,23.5,227,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.0,0,1,0,0,0,0,0,0,0,-8.5,228,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,22.5,0,0,1,0,1,0,0,0,0,-1.5,229,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,30.0,0,0,1,0,1,0,0,0,0,-2.0,230,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,0,0,0,1,0,0,0,0,0,0.0,231,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,22.0,0,0,0,1,0,0,0,0,0,1.0,232,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.0,1,0,0,0,0,0,1,0,0,6.0,233,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,5.0,0,1,0,0,1,0,1,0,0,2.0,234,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.5,0,0,1,0,1,0,1,0,0,0.5,235,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,28.0,1,0,0,0,0,0,1,0,0,,236,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,1,0,0,0,0,0,1,0,0,14.0,237,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,1,0,0,0,1,0,1,0,0,-2.0,238,1,0,0,New Jersey,Pre (Feb 1992)
